username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
tekkito,,,53.0,,63.32,79.83,0.8875,0.9475,45.74,True,54.4,2,134.0,"tekkito scores 45.74 with consistency score 79.8, recent tournament form 63.3, bancho score 53.0; reliability 0.887, activity 0.948, provisional",{}
szedis,,,40.95,,64.97,91.77,0.8875,0.9475,45.71,True,54.36,2,134.0,"szedis scores 45.71 with consistency score 91.8, recent tournament form 65.0, bancho score 41.0; reliability 0.887, activity 0.948, provisional",{}
Raikouhou,,,64.29,,56.61,87.07,0.8875,0.9475,45.68,True,54.32,2,134.0,"Raikouhou scores 45.68 with consistency score 87.1, bancho score 64.3, recent tournament form 56.6; reliability 0.887, activity 0.948, provisional",{}
nujabes,,,70.75,,52.26,93.3,0.8875,0.9457,45.56,True,54.28,2,141.0,"nujabes scores 45.56 with consistency score 93.3, bancho score 70.8, recent tournament form 52.3; reliability 0.887, activity 0.946, provisional",{}
NINERIK,,,87.96,,45.79,93.1,0.8875,0.9437,45.52,True,54.35,2,149.0,"NINERIK scores 45.52 with consistency score 93.1, bancho score 88.0, recent tournament form 45.8; reliability 0.887, activity 0.944, provisional",{}
calebshucks,,,50.63,,63.43,96.45,0.8688,0.9475,45.32,True,55.06,1,134.0,"calebshucks scores 45.32 with consistency score 96.5, recent tournament form 63.4, bancho score 50.6; reliability 0.869, activity 0.948, provisional",{}
Ruyaya,,,33.69,,58.09,94.85,0.9062,0.9423,44.88,False,52.56,3,155.0,"Ruyaya scores 44.88 with consistency score 94.8, recent tournament form 58.1, bancho score 33.7; reliability 0.906, activity 0.942",{}
criller,,,54.2,,55.92,89.14,0.8875,0.9454,44.87,True,53.48,2,142.0,"criller scores 44.87 with consistency score 89.1, recent tournament form 55.9, bancho score 54.2; reliability 0.887, activity 0.945, provisional",{}
runnysunny,,,57.02,,48.43,91.4,0.9062,0.9454,44.82,False,52.32,3,142.0,"runnysunny scores 44.82 with consistency score 91.4, bancho score 57.0, recent tournament form 48.4; reliability 0.906, activity 0.945",{}
lolol235,,,39.26,,57.8,81.27,0.9062,0.9457,44.79,False,52.26,3,141.0,"lolol235 scores 44.79 with consistency score 81.3, recent tournament form 57.8, bancho score 39.3; reliability 0.906, activity 0.946",{}
PinkEyeFan2013,,,69.63,,52.34,76.41,0.8875,0.9457,44.78,True,53.36,2,141.0,"PinkEyeFan2013 scores 44.78 with consistency score 76.4, bancho score 69.6, recent tournament form 52.3; reliability 0.887, activity 0.946, provisional",{}
Hakui Koyori,,,50.72,,50.08,70.01,0.9062,0.967,44.76,False,51.07,3,72.0,"Hakui Koyori scores 44.76 with consistency score 70.0, bancho score 50.7, recent tournament form 50.1; reliability 0.906, activity 0.967",{}
EthantrixV3,,,40.17,,65.3,91.22,0.8688,0.9475,44.73,True,54.33,1,134.0,"EthantrixV3 scores 44.73 with consistency score 91.2, recent tournament form 65.3, bancho score 40.2; reliability 0.869, activity 0.948, provisional",{}
palr,,,42.03,,57.88,94.81,0.8875,0.9472,44.7,True,53.18,2,135.0,"palr scores 44.70 with consistency score 94.8, recent tournament form 57.9, bancho score 42.0; reliability 0.887, activity 0.947, provisional",{}
NathanRam1918,,,49.17,,55.45,94.31,0.8875,0.9457,44.68,True,53.24,2,141.0,"NathanRam1918 scores 44.68 with consistency score 94.3, recent tournament form 55.5, bancho score 49.2; reliability 0.887, activity 0.946, provisional",{}
Xaver,,,50.87,,54.48,93.58,0.8875,0.9457,44.6,True,53.14,2,141.0,"Xaver scores 44.60 with consistency score 93.6, recent tournament form 54.5, bancho score 50.9; reliability 0.887, activity 0.946, provisional",{}
Wanderio,,,41.34,,55.39,81.87,0.9062,0.9457,44.55,False,51.98,3,141.0,"Wanderio scores 44.55 with consistency score 81.9, recent tournament form 55.4, bancho score 41.3; reliability 0.906, activity 0.946",{}
Nopekjk,,,33.85,,60.44,95.88,0.8875,0.9454,44.54,True,53.09,2,142.0,"Nopekjk scores 44.54 with consistency score 95.9, recent tournament form 60.4, bancho score 33.8; reliability 0.887, activity 0.945, provisional",{}
mcy4,,,60.35,,80.87,25.0,0.8688,0.9188,44.5,True,55.75,1,301.0,"mcy4 scores 44.50 with recent tournament form 80.9, bancho score 60.4, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
toybot,,,40.84,,70.94,70.93,0.8875,0.9193,44.47,True,54.5,2,296.0,"toybot scores 44.47 with recent tournament form 70.9, consistency score 70.9, bancho score 40.8; reliability 0.887, activity 0.919, provisional",{}
WindowLife,,,67.33,,69.17,25.0,0.8688,0.9475,44.43,True,53.97,1,134.0,"WindowLife scores 44.43 with recent tournament form 69.2, bancho score 67.3, consistency score 25.0; reliability 0.869, activity 0.948, provisional",{}
lolol233,,,56.19,,53.3,85.2,0.8875,0.9457,44.41,True,52.92,2,141.0,"lolol233 scores 44.41 with consistency score 85.2, bancho score 56.2, recent tournament form 53.3; reliability 0.887, activity 0.946, provisional",{}
Flyer,,,36.74,,59.6,92.91,0.8875,0.9423,44.33,True,53.0,2,155.0,"Flyer scores 44.33 with consistency score 92.9, recent tournament form 59.6, bancho score 36.7; reliability 0.887, activity 0.942, provisional",{}
Indiana,,,36.11,,73.97,62.64,0.8875,0.9186,44.28,True,54.31,2,303.0,"Indiana scores 44.28 with recent tournament form 74.0, consistency score 62.6, bancho score 36.1; reliability 0.887, activity 0.919, provisional",{}
BATBALL,,,31.04,,64.75,73.81,0.8875,0.9475,44.25,True,52.62,2,134.0,"BATBALL scores 44.25 with consistency score 73.8, recent tournament form 64.8, bancho score 31.0; reliability 0.887, activity 0.948, provisional",{}
GNX,,,46.09,,46.78,83.66,0.9062,0.9627,44.25,False,50.73,3,84.0,"GNX scores 44.25 with consistency score 83.7, recent tournament form 46.8, bancho score 46.1; reliability 0.906, activity 0.963",{}
Swiq,,,54.89,,53.14,81.89,0.8875,0.9475,44.24,True,52.61,2,134.0,"Swiq scores 44.24 with consistency score 81.9, bancho score 54.9, recent tournament form 53.1; reliability 0.887, activity 0.948, provisional",{}
Riot,,,55.44,,48.59,98.66,0.8875,0.9475,44.22,True,52.59,2,134.0,"Riot scores 44.22 with consistency score 98.7, bancho score 55.4, recent tournament form 48.6; reliability 0.887, activity 0.948, provisional",{}
LordGabriel,,,53.81,,56.27,98.9,0.8688,0.9423,44.21,True,54.0,1,155.0,"LordGabriel scores 44.21 with consistency score 98.9, recent tournament form 56.3, bancho score 53.8; reliability 0.869, activity 0.942, provisional",{}
Birchman,,,28.85,,55.31,93.8,0.9062,0.9457,44.19,False,51.56,3,141.0,"Birchman scores 44.19 with consistency score 93.8, recent tournament form 55.3, bancho score 28.8; reliability 0.906, activity 0.946",{}
rng_,,,41.33,,86.34,25.0,0.8688,0.918,44.12,True,55.32,1,309.0,"rng_ scores 44.12 with recent tournament form 86.3, bancho score 41.3, consistency score 25.0; reliability 0.869, activity 0.918, provisional",{}
Thatnoobguy,,,37.21,,48.05,89.99,0.9062,0.962,44.1,False,50.59,3,86.0,"Thatnoobguy scores 44.10 with consistency score 90.0, recent tournament form 48.0, bancho score 37.2; reliability 0.906, activity 0.962",{}
Welter,,,60.26,,44.41,82.91,0.9062,0.9457,44.01,False,51.35,3,141.0,"Welter scores 44.01 with consistency score 82.9, bancho score 60.3, recent tournament form 44.4; reliability 0.906, activity 0.946",{}
Spinesnight,,,33.51,,58.87,92.39,0.8875,0.9423,43.97,True,52.57,2,155.0,"Spinesnight scores 43.97 with consistency score 92.4, recent tournament form 58.9, bancho score 33.5; reliability 0.887, activity 0.942, provisional",{}
