#REF!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Qualifiers ⬥ Performance Scores,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,,
,,★,#1,PL:,,MALISZEWSKI,2.591,20 / 22,10 / 11,"828,723",99.18%,,NM1,S,"1,015,930",0.91,,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#177,DK:,,thebeastjona,1.136,16 / 22,8 / 11,"384,546",97.31%,,NM3,A,"521,859",,,,,,
,,,#178,KZ:,,3uma,1.133,13 / 22,7 / 11,"421,082",96.72%,,NM1,A,"629,432",,,,,,
,,,#179,DE:,,ZeitFrost,1.129,9 / 22,3 / 11,"485,075",97.03%,,DT1,S,"815,516",,,,,,
,,★,#180,HU:,,csaba21123,1.128,17 / 22,8 / 11,"361,261",93.80%,,HD2,A,"764,897",,,,,,
,,★,#181,JP:,,shouponpon,1.126,16 / 22,8 / 11,"408,249",96.39%,,NM2,S,"973,484",,,,,,
,,,#182,NO:,,HUNDUR,1.126,6 / 22,3 / 11,"652,258",98.47%,,DT2,A,"832,823",,,,,,
,,★,#183,CO:,,Carlosflow,1.121,20 / 22,10 / 11,"391,487",95.26%,,NM3,A,"850,155",,,,,,
,,,#184,SG:,,qstronaut,1.120,13 / 22,7 / 11,"473,923",97.51%,,NM2,S,"973,063",,,,,,
,,,#185,ES:,,[dekori],1.119,11 / 22,6 / 11,"498,861",97.27%,,NM2,A,"928,992",,,,,,
,,,#186,KR:,,Suyong_,1.119,4 / 22,2 / 11,"694,432",97.78%,,NM2,S,"958,379",,,,,,
,,,#187,MY:,,mabayu,1.118,14 / 22,7 / 11,"421,845",95.49%,,DT2,S,"834,747",,,,,,
,,,#188,SE:,,Andros,1.116,14 / 22,7 / 11,"441,665",96.42%,,DT2,A,"671,109",,,,,,
,,,#189,PH:,,Rammu,1.112,8 / 22,4 / 11,"482,448",97.18%,,NM1,S,"1,002,506",,,,,,
,,,#190,BY:,,ITheQwertyI,1.106,10 / 22,5 / 11,"393,835",96.92%,,NM4,S,"663,876",,,,,,
