username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
robotonic,,,,,24.11,25.0,0.8688,0.942,19.88,True,24.29,1,156.0,"robotonic scores 19.88 with consistency score 25.0, recent tournament form 24.1; reliability 0.869, activity 0.942, provisional",{}
_Chonker,,,,,24.82,25.0,0.8688,0.9193,19.85,True,24.86,1,296.0,"_Chonker scores 19.85 with consistency score 25.0, recent tournament form 24.8; reliability 0.869, activity 0.919, provisional",{}
FcEazy,,,,,17.29,48.0,0.8875,0.9475,19.7,True,23.43,2,134.0,"FcEazy scores 19.70 with consistency score 48.0, recent tournament form 17.3; reliability 0.887, activity 0.948, provisional",{}
VineOpoly,,,,,25.41,25.0,0.85,0.9096,19.58,True,25.33,0,422.0,"VineOpoly scores 19.58 with recent tournament form 25.4, consistency score 25.0; reliability 0.850, activity 0.910, provisional",{}
Razekon,,,,,24.36,25.0,0.8688,0.9153,19.47,True,24.49,1,338.0,"Razekon scores 19.47 with consistency score 25.0, recent tournament form 24.4; reliability 0.869, activity 0.915, provisional",{}
xymbii,,,,,24.22,25.0,0.8688,0.9186,19.45,True,24.38,1,303.0,"xymbii scores 19.45 with consistency score 25.0, recent tournament form 24.2; reliability 0.869, activity 0.919, provisional",{}
_Kasaezic,,,,,23.56,25.0,0.8688,0.9387,19.45,True,23.85,1,171.0,"_Kasaezic scores 19.45 with consistency score 25.0, recent tournament form 23.6; reliability 0.869, activity 0.939, provisional",{}
Chiyuu,,,,,23.44,25.0,0.8688,0.9407,19.41,True,23.75,1,162.0,"Chiyuu scores 19.41 with consistency score 25.0, recent tournament form 23.4; reliability 0.869, activity 0.941, provisional",{}
NoTablet,,,,,25.09,25.0,0.85,0.9079,19.35,True,25.07,0,457.0,"NoTablet scores 19.35 with recent tournament form 25.1, consistency score 25.0; reliability 0.850, activity 0.908, provisional",{}
Gerard Way,,,,,23.3,25.0,0.8688,0.9391,19.29,True,23.64,1,169.0,"Gerard Way scores 19.29 with consistency score 25.0, recent tournament form 23.3; reliability 0.869, activity 0.939, provisional",{}
Carlosflow,,,,,24.01,25.0,0.8688,0.9153,19.25,True,24.21,1,338.0,"Carlosflow scores 19.25 with consistency score 25.0, recent tournament form 24.0; reliability 0.869, activity 0.915, provisional",{}
